iter	Logloss
0	0.6900773373
1	0.6877344152
2	0.6854893349
3	0.6830150342
4	0.6807471662
5	0.6787633749
6	0.6769674683
7	0.6752357491
8	0.6736173428
9	0.6723268716
10	0.6713454276
11	0.6702436329
12	0.6689465562
13	0.6676789457
14	0.6665234854
15	0.6656208223
16	0.664676397
17	0.6638521668
18	0.6632604476
19	0.6618351878
20	0.6612193401
21	0.6605000632
22	0.65992612
23	0.6594862887
24	0.6588642648
25	0.6584076284
26	0.6579890134
27	0.6575292727
28	0.6570439324
29	0.6564661016
30	0.6560593324
31	0.6555548493
32	0.6552894814
33	0.6543411313
34	0.6540334794
35	0.6538363129
36	0.6535034568
37	0.653194583
38	0.6529358334
39	0.6524491064
40	0.6521936879
41	0.6511439484
42	0.6506197041
43	0.6503952059
44	0.6501099384
45	0.6498718844
46	0.6496324299
47	0.6494206243
48	0.6492025986
49	0.6488442121
50	0.6486870795
51	0.6484114056
52	0.648167463
53	0.6479425276
54	0.6478252984
55	0.6473772577
56	0.6472290019
57	0.6469985647
58	0.6468127738
59	0.6465420945
60	0.6463485829
61	0.6461423539
62	0.6459343029
63	0.6457743763
64	0.6455852779
65	0.6453836167
66	0.6451683361
67	0.645000859
68	0.6448503359
69	0.6447265841
70	0.6445793099
71	0.6443891618
72	0.644198074
73	0.6438463436
74	0.6436988955
75	0.6436156868
76	0.6431347066
77	0.642965201
78	0.6427547345
79	0.6426748135
80	0.6425623063
81	0.6424841132
82	0.6423060247
83	0.6421023882
84	0.641945828
85	0.6417724134
86	0.6414621727
87	0.6413576533
88	0.6412155865
89	0.6411213041
90	0.6410048479
91	0.6408514813
92	0.6407398978
93	0.6406156143
94	0.6402132829
95	0.6401341304
96	0.6398924522
97	0.6397645759
98	0.6396458255
99	0.639562101
100	0.6394296874
101	0.6392925208
102	0.6391803126
103	0.6391140441
104	0.6389064382
105	0.6387289183
106	0.6385634222
107	0.6385441814
108	0.6384945568
109	0.638294926
110	0.6382268381
111	0.6380512384
112	0.6378766242
113	0.6377193037
114	0.6375751219
115	0.6374251994
116	0.6370880178
117	0.6368946353
118	0.6367030499
119	0.6365338209
120	0.6364059506
121	0.6362559215
122	0.6360733896
123	0.6358790387
124	0.6357712899
125	0.63563959
126	0.6355419034
127	0.635453738
128	0.6353566151
129	0.635234286
130	0.6351605579
131	0.6350333621
132	0.6345371342
133	0.6344339667
134	0.6343579294
135	0.6342696075
136	0.6341418241
137	0.6339435286
138	0.6338142556
139	0.6336995961
140	0.6336474716
141	0.6335188039
142	0.6333389621
143	0.6332127145
144	0.6329438868
145	0.632863814
146	0.6327939524
147	0.6326634349
148	0.6325294586
149	0.6324555935
150	0.6323332036
151	0.6321601696
152	0.6319758516
153	0.6318372944
154	0.6317419278
155	0.631650427
156	0.6315843799
157	0.6314128052
158	0.6312433287
159	0.6311997236
160	0.6311024389
161	0.6309510151
162	0.6309007608
163	0.6308254575
164	0.6307001782
165	0.6305997525
166	0.6305537252
167	0.6304318967
168	0.6302456751
169	0.6301316994
170	0.6299987536
171	0.629883363
172	0.6296587624
173	0.6295758266
174	0.6293674958
175	0.6292549195
176	0.6292146772
177	0.6290536924
178	0.6289529788
179	0.6289042832
180	0.6288505047
181	0.6287344957
182	0.6286004555
183	0.6284315791
184	0.6283455681
185	0.6281890844
186	0.628116431
187	0.6279670481
188	0.627850457
189	0.6277304909
190	0.6275765869
191	0.6274857112
192	0.6274646186
193	0.6273328127
194	0.6271995377
195	0.6270789873
196	0.6269386875
197	0.626839427
198	0.6266831185
199	0.626620932
200	0.6264416175
201	0.626252949
202	0.6261887543
203	0.6261272407
204	0.6260303446
205	0.6258791703
206	0.6257503834
207	0.6256144491
208	0.6254992797
209	0.6254004872
210	0.625328324
211	0.625206935
212	0.6250799467
213	0.6249786666
214	0.6248578654
215	0.6247160681
216	0.6246032629
217	0.6244754796
218	0.6243634338
219	0.6241728684
220	0.624004694
221	0.6235544786
222	0.6233666278
223	0.6232505074
224	0.6231525842
225	0.6230273041
226	0.6228620484
227	0.622774557
228	0.6226588089
229	0.6225483
230	0.6223933297
231	0.6222541653
232	0.6221868881
233	0.6220973127
234	0.6219005871
235	0.621782751
236	0.6213930898
237	0.6212954405
238	0.621168632
239	0.6210416844
240	0.6208416918
241	0.6205609225
242	0.6204155153
243	0.6202648114
244	0.6200967743
245	0.619867713
246	0.6197209177
247	0.6195556511
248	0.6193543181
249	0.619159871
250	0.618963542
251	0.6187206231
252	0.6185453891
253	0.6183940826
254	0.618273615
255	0.6180025195
256	0.6178312298
257	0.6176245011
258	0.6174518287
259	0.6172401718
260	0.6170441993
261	0.6168315206
262	0.6166437237
263	0.6164411762
264	0.6162621097
265	0.616103421
266	0.6159679979
267	0.6157985828
268	0.6155790938
269	0.6154475432
270	0.6152520285
271	0.6150538586
272	0.6148410637
273	0.614651247
274	0.614501747
275	0.6143840404
276	0.6142096502
277	0.6140363237
278	0.6138462235
279	0.6136632198
280	0.6135496153
281	0.6133828554
282	0.6132083114
283	0.6130386551
284	0.6129281892
285	0.6127753578
286	0.6126015362
287	0.6124131373
288	0.6122274798
289	0.6121566784
290	0.6119594992
291	0.6117875482
292	0.6115962264
293	0.6114189979
294	0.6112497905
295	0.6110361195
296	0.6108654288
297	0.61054144
298	0.6104345392
299	0.6102759239
